variant,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
dt_05,1000,148,75,67,73,8,120.30894397082989,211.9301735581089,177.29091428883712,85,0.928125,0.8549957499019195,62182.0,0.46685540000908077,86.59533517605581,1.0,159.4364461717374,0.746031746031746,319.2714366396545,0.05,0.3375,0.9473958333333333,0.5427083333333333,0.9799479166666667,0.6532986111111111
dt_05,1001,135,96,88,39,8,164.16385183709102,192.72750846816032,182.93252771772822,73,0.9572916666666667,0.864106844622393,66981.0,0.37102239998057485,184.94944947434098,0.7,55.017571601094645,1.0,285.9411295687501,0.5344827586206896,0.33350694444444445,0.9776041666666667,0.5329861111111112,0.9890625,0.659375
dt_05,1002,156,79,71,77,8,119.9086136148649,217.48398489145197,178.90516458856536,93,0.9260416666666667,0.8657989541811979,65507.0,0.4709296999499202,133.98439648022824,0.8387096774193549,106.98774389780002,0.9803921568627451,328.6163569377247,0.04054054054054054,0.3419270833333333,0.9557291666666666,0.6670138888888889,0.9907552083333333,0.6605034722222223
dt_05,1003,148,81,73,67,8,144.35415804252295,218.47610927961918,199.2390924155495,84,0.934375,0.867230696759606,78456.5,0.47255250002490357,167.91062722515403,0.7714285714285715,142.75945608026885,0.8983050847457628,333.97748725495154,0.018518518518518517,0.3463541666666667,0.9453125,0.6479166666666667,0.9921875,0.6614583333333334
dt_05,1004,142,87,79,55,8,125.84262134222382,189.57183695276157,147.36305365966734,74,0.9635416666666666,0.8621544073792198,49287.5,0.41397629998391494,114.64663424287616,0.896551724137931,66.3429807939326,1.0,299.64285941037247,0.2463768115942029,0.3338541666666667,0.97265625,0.48368055555555556,0.987109375,0.6580729166666667
dt_05,1005,154,81,73,73,8,116.07114660498307,216.87685948490133,185.97342435313462,94,0.9083333333333333,0.8635861599021004,69883.5,0.4930110000423156,150.93256160483654,0.7352941176470589,107.12849942096406,1.0,330.489504284655,0.07246376811594203,0.34869791666666666,0.9309895833333334,0.78125,0.9885416666666667,0.6590277777777778
dt_05,1006,168,80,72,88,8,114.57531017932395,228.65985567890752,208.03811293261157,106,0.946875,0.8629353792717619,84035.0,0.5679965000017546,198.3242947594327,0.6756756756756757,87.00545505434593,1.0,336.1085213307781,0.0379746835443038,0.33619791666666665,0.9671875,0.5527777777777778,0.987890625,0.65859375
dt_05,1007,149,83,75,66,8,133.5133820505752,206.49840132491627,189.75419883018725,87,0.93125,0.8535641302608995,71541.5,0.42770579998614267,139.93519735007874,0.896551724137931,158.28396069865732,0.7692307692307693,298.5760659790457,0.12727272727272726,0.3341145833333333,0.9546875,0.8381944444444445,0.978515625,0.65234375
dt_05,1008,158,84,76,74,8,133.02897152267875,227.8035114256564,188.0723619404376,99,0.9302083333333333,0.8639766497880057,71207.5,0.499042899988126,140.08698151389106,0.9655172413793104,129.2823493816848,0.9137931034482759,344.1134658762416,0.04225352112676056,0.33828125,0.9630208333333333,0.6597222222222222,0.9889322916666666,0.6592881944444444
dt_05,1009,171,82,74,89,8,133.52553823337811,224.5693769524468,195.0346006941255,102,0.9395833333333333,0.8673608702433441,79329.0,0.5220592000405304,138.71200865261096,0.8125,142.77072180374208,0.803030303030303,336.16043209503937,0.0410958904109589,0.3373263888888889,0.97265625,0.7913194444444445,0.9923177083333333,0.6615451388888889
dt_05,1010,167,80,72,87,8,134.04765435914274,223.1705513192029,209.76282838703418,105,0.9239583333333333,0.8589005232638927,85689.5,0.49704829999245703,171.71870738553042,0.6486486486486487,144.58242024570666,0.8448275862068966,312.91818781654547,0.09722222222222222,0.34366319444444443,0.93671875,0.7475694444444444,0.9838541666666667,0.6559027777777777
dt_05,1011,154,82,74,72,8,126.81941531715592,214.41789027926785,182.69418318853974,91,0.9354166666666667,0.8643671490097746,67612.5,0.48113369999919087,148.59028846950218,0.9285714285714286,117.68650834695607,0.9322033898305084,327.1092990058325,0.014925373134328358,0.3404513888888889,0.9572916666666667,0.8131944444444444,0.9893229166666667,0.6595486111111111
dt_05,1012,146,86,78,60,8,124.639180673469,192.9072382078286,153.76493655864613,82,0.9072916666666667,0.8633258937461489,54445.0,0.42618880001828074,121.24337004865924,0.7714285714285715,60.00328654082123,1.0,313.83525743212635,0.23529411764705882,0.33541666666666664,0.9703125,0.5024305555555556,0.98828125,0.6588541666666666
dt_05,1013,155,82,74,73,8,135.71475308145585,215.54726757298752,185.26570280324782,91,0.9260416666666667,0.861894052103715,70682.5,0.4692184000159614,134.26689917835043,0.8125,137.04299625733339,0.896551724137931,325.61218334123873,0.06153846153846154,0.3388888888888889,0.95703125,0.6201388888888889,0.9868489583333333,0.6578993055555555
dt_05,1014,165,85,77,80,8,119.13908974392523,194.3204901043718,178.1897176808107,91,0.928125,0.8643671571387332,72291.0,0.43888669996522367,134.85279008325216,0.7027027027027027,128.32100231131696,0.85,284.9127572862059,0.11764705882352941,0.3424479166666667,0.9513020833333333,0.5989583333333334,0.9893229166666667,0.6595486111111111
dt_05,1015,151,79,71,72,8,108.6474434739558,215.4649994657461,177.29858857293422,87,0.9302083333333333,0.8700942854793767,62548.5,0.43579449999378994,144.30248188212835,0.8333333333333334,88.19742147716629,1.0,328.3926607117785,0.0821917808219178,0.34149305555555554,0.965625,0.434375,0.9950520833333333,0.6633680555555556
dt_05,1016,181,80,73,101,7,115.2175734653481,224.31270563257743,189.01567263172396,110,0.8604166666666667,0.8628052407032621,78360.0,0.5807862000074238,135.96679251701755,0.7142857142857143,113.65108430042662,0.8387096774193549,342.8023185092197,0.03571428571428571,0.3485243055555556,0.9299479166666667,0.6420138888888889,0.9877604166666667,0.6585069444444445
dt_05,1017,138,92,84,46,8,146.12022894565445,191.46709216103872,131.3796938284536,73,0.7458333333333333,0.8676211835203786,40709.5,0.3652647999697365,68.63892980404637,0.9583333333333334,73.00863088835983,1.0,301.5105820224322,0.375,0.3624131944444444,0.8979166666666667,0.37916666666666665,0.992578125,0.66171875
dt_05,1018,154,86,78,68,8,102.11848790259751,190.83489398901622,161.5552014986003,78,0.9604166666666667,0.8631957045535408,57566.0,0.4003832000307739,118.42573939091207,0.8709677419354839,105.55513748974519,0.9787234042553191,273.1090038312131,0.17105263157894737,0.33315972222222223,0.9768229166666667,0.8006944444444445,0.9881510416666667,0.6587673611111111
dt_05,1019,177,79,71,98,8,134.6068325063394,240.5795181993901,206.8823280812869,112,0.9458333333333333,0.8704847798404686,82508.5,0.6152753999922425,149.20927282833316,0.8333333333333334,140.1089601212773,0.7936507936507936,348.5646672476379,0.047619047619047616,0.34305555555555556,0.96171875,0.346875,0.9954427083333334,0.6636284722222222
dt_05,1020,171,83,75,88,8,111.46187365029816,215.03549021368303,185.91488124336473,99,0.9729166666666667,0.8707451124640163,77329.5,0.44800049997866154,151.49951089670236,0.725,99.79420754536532,0.9807692307692307,323.0606278267431,0.0379746835443038,0.33567708333333335,0.984375,0.5572916666666666,0.995703125,0.6638020833333333
dt_05,1021,172,84,76,88,8,116.06638340095829,208.0158060201397,183.22273019208342,96,0.94375,0.8689228125580016,76735.5,0.502878800034523,147.29265762132158,0.6923076923076923,106.51544664788413,0.9137931034482759,318.08545443540277,0.05333333333333334,0.33914930555555556,0.9703125,0.5479166666666667,0.9938802083333333,0.6625868055555556
dt_05,1022,171,87,79,84,8,125.16252478175805,220.15975155386835,170.79879174963781,100,0.5802083333333333,0.8648877821358276,63102.5,0.5434294000151567,38.522842537845364,1.0,159.0796147852628,0.8955223880597015,318.79854621056444,0.06097560975609756,0.39817708333333335,0.78515625,0.6027777777777777,0.98984375,0.6598958333333333
dt_05,1023,146,83,75,63,8,125.08794895471256,218.19046222638045,180.90244451372112,88,0.9385416666666667,0.8634560262043063,64507.5,0.4533934000064619,155.86331957498822,0.8387096774193549,89.6213380497141,1.0,339.13761719165126,0.13432835820895522,0.3388888888888889,0.96015625,0.6517361111111111,0.9884114583333333,0.6589409722222223
dt_05,1024,162,79,71,83,8,102.06807897629862,203.9757322270517,165.01733422657992,89,0.9416666666666667,0.8596813568655947,60281.0,0.4476800999836996,110.07792798342268,0.8387096774193549,100.74623120317736,0.9803921568627451,306.16993827417787,0.0375,0.33567708333333335,0.9622395833333334,0.6184027777777777,0.9846354166666667,0.6564236111111111
dt_05,1025,152,78,70,74,8,96.03960248884047,206.42567241306173,156.26400754906442,85,0.9645833333333333,0.865148100640737,57233.0,0.3688221000484191,101.09971585301696,0.8181818181818182,87.56150821434979,0.9433962264150944,354.5401764890195,0.015151515151515152,0.33177083333333335,0.9848958333333333,0.6947916666666667,0.9901041666666667,0.6600694444444445
dt_05,1026,178,78,70,100,8,155.7740378173509,235.68051462285143,235.3741997040578,111,0.9489583333333333,0.8638465562025909,107726.5,0.5069923000410199,212.93106389921977,0.5813953488372093,154.8415084924801,0.7846153846153846,324.71996861699853,0.02857142857142857,0.3347222222222222,0.9734375,0.5038194444444445,0.9888020833333333,0.6592013888888889
dt_05,1027,143,89,81,54,8,112.7465756553914,179.04181939825645,131.82903054169628,73,0.95625,0.8609830123423943,43996.0,0.3759985999786295,89.71940655593961,0.9642857142857143,64.48031914515093,1.0,291.6629291261945,0.2318840579710145,0.3345486111111111,0.9682291666666667,0.5284722222222222,0.9859375,0.6572916666666667
dt_05,1028,161,81,73,80,8,110.05929578377575,203.5557016684297,188.38120320688714,95,0.965625,0.8639767083024517,73823.5,0.4777720999554731,175.96093179458134,0.75,91.19422822522068,0.9615384615384616,297.20239118220246,0.0547945205479452,0.3338541666666667,0.9763020833333333,0.8625,0.9889322916666666,0.6592881944444444
dt_05,1029,146,82,74,64,8,112.57305107716785,196.57932966613924,175.13871257830348,83,0.9010416666666666,0.8607226907484923,61185.0,0.4050167999812402,147.23152842386,0.8620689655172413,112.30082865400627,1.0,280.8332294666281,0.1044776119402985,0.34453125,0.9377604166666667,0.6319444444444444,0.9856770833333334,0.6571180555555556
dt_025,1000,148,75,67,73,8,119.72227730416321,211.6328762608116,176.89116491540352,85,0.9286458333333333,0.8552568534867244,62073.5,0.8227328000357375,86.21533517605582,1.0,158.89676363205484,0.746031746031746,319.2631033063211,0.05,0.3375434027777778,0.9477864583333333,0.5435763888888889,0.9802083333333333,0.6534722222222222
dt_025,1001,135,96,88,39,8,163.36958100375767,192.1626936533455,182.464312558804,73,0.9578125,0.8643028273336284,66837.25,0.6803946000291035,184.630699474341,0.7,54.3216256551487,1.0,285.2902674997846,0.5344827586206896,0.3335503472222222,0.9778645833333334,0.5338541666666666,0.9892578125,0.6595052083333334
