t,queue,active,finished,fatigue,beds,icu,ventilators,doctors,nurses
0.0,0,0,0,0.0,0,0,0,0,0
1.0,0,0,0,0.0,0,0,0,0,0
2.0,0,1,0,0.0,1,0,0,1,1
3.0,0,2,0,0.0020833333333333333,2,0,0,2,2
4.0,0,2,0,0.006215277777777778,2,0,0,2,2
5.0,0,2,0,0.010278356481481482,2,0,0,2,2
6.0,0,2,0,0.014273717206790125,2,0,0,2,2
7.0,0,2,0,0.018202488586676956,2,0,0,2,2
8.0,0,3,0,0.022065780443565674,2,1,1,3,3
9.0,0,5,0,0.027948017436172912,4,1,1,5,5
10.0,0,5,0,0.037898883812236696,4,1,1,5,5
11.0,0,5,0,0.04768390241536608,4,1,1,5,5
12.0,0,4,1,0.05730583737510998,3,1,1,4,4
13.0,0,5,1,0.06468407341885815,4,1,1,5,5
14.0,0,5,1,0.07402267219521051,4,1,1,5,5
15.0,0,7,1,0.08320562765862367,6,1,1,7,7
16.0,0,7,1,0.09640220053097995,6,1,1,7,7
17.0,1,8,1,0.10937883052213028,7,1,1,8,8
18.0,2,8,1,0.12422251668009478,7,1,1,8,8
19.0,2,8,1,0.13881880806875987,7,1,1,8,8
20.0,3,8,1,0.15317182793428055,7,1,1,8,8
21.0,4,8,1,0.16728563080204253,7,1,1,8,8
22.0,5,8,1,0.1811642036220085,7,1,1,8,8
23.0,5,8,1,0.19481146689497503,7,1,1,8,8
24.0,5,8,1,0.2082312757800588,7,1,1,8,8
25.0,6,8,1,0.22142742118372447,7,1,1,8,8
26.0,8,8,1,0.2344036308306624,7,1,1,8,8
27.0,10,8,1,0.24716357031681802,7,1,1,8,8
28.0,11,8,1,0.25971084414487106,7,1,1,8,8
29.0,12,8,2,0.27204899674245653,6,2,2,8,8
30.0,13,8,2,0.2841815134634156,6,2,2,8,8
31.0,12,8,3,0.29611182157235866,5,3,3,8,8
32.0,14,8,3,0.30784329121281934,5,3,3,8,8
33.0,15,8,3,0.31937923635927234,5,3,3,8,8
34.0,16,8,3,0.3307229157532845,5,3,3,8,8
35.0,16,8,4,0.3418775338240631,4,4,3,8,8
36.0,16,8,4,0.35284624159366207,4,4,3,8,8
37.0,16,8,4,0.36363213756710105,4,4,3,8,8
38.0,16,8,4,0.37423826860764936,4,4,3,8,8
39.0,16,8,4,0.38466763079752186,4,4,3,8,8
40.0,17,8,4,0.39492317028422985,4,4,3,8,8
41.0,17,8,4,0.405007784112826,4,4,3,8,8
42.0,16,8,5,0.4149243210442789,4,4,3,8,8
43.0,17,8,5,0.4246755823602076,4,4,3,8,8
44.0,16,8,6,0.4342643226542041,4,4,3,8,8
45.0,16,8,7,0.4436932506099674,4,4,3,8,8
46.0,17,8,7,0.45296502976646796,4,4,3,8,8
47.0,18,8,7,0.46208227927036016,4,4,3,8,8
48.0,20,8,7,0.47104757461585417,4,4,3,8,8
49.0,22,8,7,0.4798634483722566,4,4,3,8,8
50.0,22,8,7,0.48853239089938566,4,4,3,8,8
51.0,22,8,7,0.49705685105106256,4,4,3,8,8
52.0,24,8,7,0.5054392368668782,4,4,3,8,8
53.0,24,8,7,0.5136819162524302,4,4,3,8,8
54.0,24,8,7,0.521787217648223,4,4,3,8,8
55.0,24,8,7,0.5297574306874193,4,4,3,8,8
56.0,24,8,7,0.537594806842629,4,4,3,8,8
57.0,24,8,8,0.5453015600619184,4,4,3,8,8
58.0,24,8,8,0.5528798673942198,4,4,3,8,8
59.0,25,8,8,0.5603318696043161,4,4,3,8,8
60.0,25,8,8,0.5676596717775775,4,4,3,8,8
61.0,27,8,8,0.5748653439146179,4,4,3,8,8
62.0,27,8,8,0.5819509215160409,4,4,3,8,8
63.0,28,8,8,0.5889184061574402,4,4,3,8,8
64.0,29,8,8,0.5957697660548161,4,4,3,8,8
65.0,30,8,8,0.6025069366205692,4,4,3,8,8
66.0,31,8,8,0.6091318210102263,4,4,3,8,8
67.0,33,8,8,0.6156462906600559,4,4,3,8,8
68.0,34,8,8,0.6220521858157216,4,4,3,8,8
69.0,34,8,8,0.6283513160521262,4,4,3,8,8
70.0,34,8,8,0.6345454607845908,4,4,3,8,8
71.0,36,8,8,0.6406363697715143,4,4,3,8,8
72.0,37,8,8,0.6466257636086558,4,4,3,8,8
73.0,40,8,8,0.6525153342151782,4,4,3,8,8
74.0,40,8,8,0.6583067453115918,4,4,3,8,8
75.0,41,8,8,0.664001632889732,4,4,3,8,8
76.0,41,8,9,0.6696016056749031,4,4,3,8,8
77.0,41,8,9,0.6751082455803215,4,4,3,8,8
78.0,42,8,9,0.6805231081539828,4,4,3,8,8
79.0,42,8,9,0.685847723018083,4,4,3,8,8
80.0,42,8,9,0.691083594301115,4,4,3,8,8
81.0,42,8,10,0.6962322010627631,4,4,3,8,8
82.0,42,8,11,0.701294997711717,4,4,3,8,8
83.0,41,8,12,0.7062734144165217,4,4,3,8,8
84.0,43,8,12,0.7111688575095797,4,4,3,8,8
85.0,44,8,12,0.71598270988442,4,4,3,8,8
86.0,44,8,12,0.7207163313863464,4,4,3,8,8
87.0,45,8,12,0.725371059196574,4,4,3,8,8
88.0,46,8,12,0.7299482082099644,4,4,3,8,8
89.0,49,8,12,0.734449071406465,4,4,3,8,8
90.0,49,8,12,0.7388749202163573,4,4,3,8,8
91.0,49,8,12,0.743227004879418,4,4,3,8,8
92.0,48,8,13,0.7475065547980944,4,4,2,8,8
93.0,47,8,14,0.7517147788847928,4,4,1,8,8
94.0,49,8,14,0.7558528659033795,4,4,1,8,8
95.0,51,8,14,0.7599219848049898,4,4,1,8,8
96.0,52,8,14,0.76392328505824,4,4,1,8,8
97.0,53,8,14,0.767857896973936,4,4,1,8,8
98.0,54,8,14,0.7717269320243705,4,4,1,8,8
99.0,54,8,14,0.7755314831572977,4,4,1,8,8
100.0,54,8,14,0.7792726251046761,4,4,1,8,8
101.0,54,8,14,0.7829514146862648,4,4,1,8,8
102.0,54,8,14,0.7865688911081604,4,4,1,8,8
103.0,53,8,15,0.7901260762563578,4,4,1,8,8
104.0,54,8,15,0.7936239749854185,4,4,1,8,8
105.0,54,8,15,0.7970635754023282,4,4,1,8,8
106.0,53,8,16,0.8004458491456228,4,4,1,8,8
107.0,57,8,16,0.8037717516598624,4,4,1,8,8
108.0,58,8,16,0.8070422224655314,4,4,1,8,8
109.0,60,8,16,0.8102581854244392,4,4,1,8,8
110.0,59,8,17,0.8134205490006985,4,4,1,8,8
111.0,59,8,17,0.8165302065173535,4,4,1,8,8
112.0,60,8,17,0.819588036408731,4,4,1,8,8
113.0,60,8,17,0.8225949024685855,4,4,1,8,8
114.0,61,8,17,0.825551654094109,4,4,1,8,8
115.0,61,8,17,0.8284591265258738,4,4,1,8,8
116.0,62,8,17,0.8313181410837759,4,4,1,8,8
117.0,63,8,17,0.8341295053990463,4,4,1,8,8
118.0,63,8,17,0.8368940136423955,4,4,1,8,8
119.0,63,8,17,0.8396124467483556,4,4,1,8,8
120.0,63,8,17,0.842285572635883,4,4,1,8,8
121.0,63,8,17,0.844914146425285,4,4,1,8,8
122.0,64,8,17,0.8474989106515302,4,4,1,8,8
